titles,ratings,reviwes,prices
"realme C30 (Lake Blue, 32 GB)","4.382,480 Ratings & 4,426 Reviews","82,480 Ratings & 4,426 Reviews","₹5,999"
"realme C30 (Bamboo Green, 32 GB)","4.138,729 Ratings & 2,513 Reviews","38,729 Ratings & 2,513 Reviews","₹6,999"
"Realme C30 - Locked with Airtel Prepaid (Denim Black, 32 GB)","4.382,480 Ratings & 4,426 Reviews","82,480 Ratings & 4,426 Reviews","₹5,549"
"realme 10 Pro+ 5G (Dark Matter, 128 GB)","4.55,678 Ratings & 654 Reviews","5,678 Ratings & 654 Reviews","₹25,999"
"realme C33 (Aqua Blue, 32 GB)","4.419,394 Ratings & 812 Reviews","19,394 Ratings & 812 Reviews","₹8,999"
"realme C33 (Sandy Gold, 32 GB)","4.419,394 Ratings & 812 Reviews","19,394 Ratings & 812 Reviews","₹8,999"
"realme C33 (Night Sea, 32 GB)","4.419,394 Ratings & 812 Reviews","19,394 Ratings & 812 Reviews","₹8,999"
"realme C30s (Stripe Blue, 32 GB)","4.54,713 Ratings & 167 Reviews","4,713 Ratings & 167 Reviews","₹6,999"
"realme C30 (Lake Blue, 32 GB)","4.138,729 Ratings & 2,513 Reviews","38,729 Ratings & 2,513 Reviews","₹6,999"
"realme C30 (Denim Black, 32 GB)","4.138,729 Ratings & 2,513 Reviews","38,729 Ratings & 2,513 Reviews","₹6,999"
"realme 10 Pro 5G (Hyperspace, 128 GB)","4.49,310 Ratings & 789 Reviews","9,310 Ratings & 789 Reviews","₹18,999"
"realme 10 Pro 5G (Nebula Blue, 128 GB)","4.45,867 Ratings & 462 Reviews","5,867 Ratings & 462 Reviews","₹19,999"
"realme 10 Pro 5G (Dark Matter, 128 GB)","4.49,310 Ratings & 789 Reviews","9,310 Ratings & 789 Reviews","₹18,999"
"realme 10 Pro 5G (Nebula Blue, 128 GB)","4.49,310 Ratings & 789 Reviews","9,310 Ratings & 789 Reviews","₹18,999"
"realme Narzo 50 (Speed Black, 64 GB)","4.515,470 Ratings & 985 Reviews","15,470 Ratings & 985 Reviews","₹11,620"
"realme C35 (Glowing Black, 64 GB)","4.41,68,596 Ratings & 9,774 Reviews","1,68,596 Ratings & 9,774 Reviews","₹11,999"
"realme C33 (Aqua Blue, 64 GB)","4.458,767 Ratings & 2,558 Reviews","58,767 Ratings & 2,558 Reviews","₹9,999"
"realme C33 (Sandy Gold, 64 GB)","4.458,767 Ratings & 2,558 Reviews","58,767 Ratings & 2,558 Reviews","₹9,999"
"realme C33 (Night Sea, 64 GB)","4.458,767 Ratings & 2,558 Reviews","58,767 Ratings & 2,558 Reviews","₹9,999"
"realme 9i 5G (Rocking Black, 64 GB)","4.540,746 Ratings & 1,917 Reviews","40,746 Ratings & 1,917 Reviews","₹14,999"
"realme C30s (Stripe Black, 32 GB)","4.54,713 Ratings & 167 Reviews","4,713 Ratings & 167 Reviews","₹6,999"
"realme Narzo 50 (Speed Blue, 128 GB)","4.47,625 Ratings & 563 Reviews","7,625 Ratings & 563 Reviews","₹15,499"
"realme Narzo 50 (Speed Black, 128 GB)","4.47,625 Ratings & 563 Reviews","7,625 Ratings & 563 Reviews","₹15,499"
"realme C35 (Glowing Green, 128 GB)","4.41,68,596 Ratings & 9,774 Reviews","1,68,596 Ratings & 9,774 Reviews","₹12,999"
